
Data for the Baryonic Tully-Fisher relation (McGaugh etal, ApJ, 2000).
Divided by data source (reference given).
Data for Fig 1a first [log(M*) vs log(Vc)]
followed by data for Fig 1b [log(Md) vs log(Vc)] where Md = M*+Mgas.

*revised* Nov 2003 to correct color term error in dwarf data.
Since these things are mostly gas this makes little difference.

Stars only:

	log(Vc)		log(M*)

#Bothun etal 1985, ApJS, 57, 423

       2.397071        11.53000  
       2.138303        10.11000  
       2.454845        11.46000  
       2.165838        10.47000  
       2.440909        11.32000  
       2.494155        11.51000  
       2.368287        11.19000  
       2.176091        10.27000  
       2.194514        10.34000  
       2.390052        10.95000  
       2.173186        10.19000  
       2.318063        10.71000  
       2.209515        10.18000  
       2.019116        9.500000  
       2.231725        10.21000  
       2.184691        10.43000  
       2.346353        11.15000  
       2.249198        10.73000  
       2.238046        10.49000  
       1.949390        9.480000  
       2.309630        10.63000  
       2.117271        9.950000  
       2.220108        10.43000  
       2.501059        11.44000  
       2.363612        10.59000  
       2.409933        11.15000  
       2.332438        10.81000  
       2.284431        10.75000  
       2.297760        10.65000  
       2.284431        10.85000  
       2.287802        10.40000  
       2.366423        10.96000  
       2.249198        10.74000  
       2.371991        10.89000  
       2.312812        10.87000  
       2.239300        10.70000  
       2.041393        9.520000  
       2.403121        10.99000  
       2.118926        10.07000  
       2.096910        9.480000  
       2.404834        10.99000  
       2.240549        10.13000  
       2.276462        10.32000  
       2.218798        10.23000  
       2.330414        10.21000  
       2.440122        11.25000  
       2.221414        10.14000  
       2.277609        10.91000  
       2.466868        11.29000  
       2.372912        10.97000  
       2.230449        9.340000  
       2.321184        10.97000  
       2.299943        10.74000  
       2.178977        10.17000  
       2.174641        10.17000  
       2.384712        10.89000  
       2.356982        10.65000  
       2.256477        10.25000  
       2.243038        10.27000  
       2.338456        10.65000  
       2.359835        10.80000  
       2.395326        10.91000  
       2.365488        10.75000  
       2.387390        11.25000  
       2.458638        11.15000  
       2.191730        10.11000  
       2.283301        10.52000  
       2.295567        10.44000  
       2.454845        11.04000  
       2.313867        10.79000  
       2.226600        10.12000  
       2.147676        9.960000  
       2.353147        10.92000  
       2.336460        10.95000  
       2.222717        10.34000  
       2.302114        10.66000  
       2.193125        9.910000  
       2.284431        10.71000  
       2.080987        9.760000  
       2.181844        9.800000  
       2.170262        10.95000  
       2.440122        11.09000  
       2.213518        10.53000  
       2.318063        10.80000  
       2.322219        11.08000  
       2.450249        11.24000  
       2.270679        10.63000  
       2.267172        10.74000  
       2.187521        10.55000  
       2.227887        10.43000  
       2.263636        10.71000  
       2.246745        10.47000  
       2.382917        11.19000  
       2.364551        11.42000  
       2.201397        10.31000  
       2.313867        10.81000  
       2.197281        10.51000  
       2.002166        9.310000  
       2.146128        10.01000  
       2.419956        10.75000  
       2.025306        9.710000  
       2.096910        9.750000  
       2.113943        9.870000  
       2.125481        9.960000  
       2.058805        9.590000  
       2.268344        10.34000  
       2.095169        9.570000  
       2.220108        9.880000  
       2.084576        10.00000  
       2.350248        11.07000  
#
#McGaugh etal 2000 and references therein (this paper) [revised Nov. 2003]
       1.778164        8.402449  
       1.693168        8.090449  
       1.887848        8.378448  
       1.863558        8.414449  
       2.095901        9.434449  
       1.785882        8.214449  
       1.906232        8.666449  
       1.902293        8.662449  
       1.585524        7.518449  
       1.845226        8.926449  
       2.013381        9.346449  
       1.893011        8.814449  
       1.916065        9.106449  
       1.881334        9.158449  
       1.903196        8.450449  
       2.007231        8.122449  
       1.996828        9.114449  
       2.023669        8.994449  
       1.876457        9.154449  
       1.913425        9.458449  
       2.038266        10.10245  
       1.757845        7.926449  
       1.720222        7.866449  
       1.866225        8.046449  
       1.925939        8.314449  
       1.938809        7.958449  
       1.604540        7.298449  
       1.926836        8.486449  
       1.518904        6.662449  
       1.928563        7.938449  
       1.957674        8.506449  
       1.919045        9.122449  
       2.006377        9.574449  
       1.971174        8.898449  
       1.913322        8.850449  
       2.023163        8.506449  
       2.020149        8.862449  
       1.930219        9.118449  
       1.822539        9.194448  
       2.059713        9.210449  
       1.844557        7.630449  
       1.990299        8.662449  
       1.884952        8.058449  
       1.709612        7.646449  
       2.194789        10.15445  
       2.061459        8.846449  
       1.891241        7.350449  
       1.632036        6.722449  
       1.550236        7.858449  
       2.016248        9.274449  
       1.905501        8.234449  
       2.160190        9.294449  
       2.096290        9.158449  
       1.778710        8.754449  
       1.808127        9.306449  
       1.839077        9.322449  
       1.698030        8.234449  
       1.924309        8.926449  
       1.919045        9.106449  
       1.884177        8.746449  
       2.187238        8.454449  
       1.858622        8.838449  
       1.917294        8.370449  
       2.031999        9.566449  
       1.989927        9.162449  
#      
#McGaugh & de Blok 1998, ApJ,  499, 41
       2.001882        9.716128  
       1.947870        8.946128  
       1.827146        9.116128  
       2.046356        9.272128  
       2.065933        9.588128  
       2.078606        9.664128  
       2.095206        9.492128  
       1.864850        9.156128  
       2.116167        9.852128  
       2.310153        10.45613  
       2.047024        9.624128  
       1.681241        7.858128  
       1.740363        8.418128  
       1.939519        9.778128  
       2.033424        9.538128  
       1.986772        9.458128  
       2.346353        11.01613  
       1.897627        8.698128  
       2.133539        10.05813  
       2.509203        11.01613  
       2.303196        10.33813  
       2.330414        11.09613  
       1.826075        9.058128  
       2.195900        10.09813  
       2.346353        10.41613  
       2.436163        10.89613  
       1.963788        9.338128  
       2.082786        9.818128  
       2.424882        10.97613  
       2.382017        10.89613  
       1.954243        9.138128  
       2.474216        11.45613  
#      
#Matthews etal 1998, AJ, 116, 1169
       1.971862        9.122128  
       1.936532        8.934128  
       1.921512        9.110128  
       1.820511        8.742128  
       1.928037        8.390128  
       1.910622        8.962128  
       2.052820        9.458128  
       1.984608        8.890128  
       1.734730        7.930128  
       1.925064        8.986128  
       1.920252        8.854128  
       1.916758        9.054128  
       2.017245        9.562128  
       1.943450        9.334128  
#      
#Verheijen 1997, Ph.D. thesis, University of Groningen
       2.209515        10.47109  
       2.232996        10.54309  
       2.222717        10.29109  
       2.350248        10.85909  
       2.130334        9.927090  
       2.371068        10.76309  
       2.230449        10.66309  
       2.133539        10.05509  
       2.235528        10.43909  
       2.178977        10.38309  
       2.267172        10.72709  
       2.264818        10.69109  
       1.939519        9.207090  
       1.919078        9.047090  
       1.934498        9.411090  
       2.136721        10.07509  
       2.041393        9.931090  
       1.908485        9.239090  
       2.096910        10.04709  
       2.045323        9.443090  
       1.913814        9.291090  
       2.041393        9.831090  

#############################################

Stars+gas: the baryonic TF

	log(Vc)		log(Md)

#Bothun etal 1985, ApJS, 57, 423
       2.397071        11.54758  
       2.138303        10.21270  
       2.454845        11.48634  
       2.165838        10.60349  
       2.440909        11.34303  
       2.494155        11.53105  
       2.368287        11.22365  
       2.176091        10.37061  
       2.194514        10.46575  
       2.390052        10.98365  
       2.173186        10.34918  
       2.318063        10.79173  
       2.209515        10.31349  
       2.019116        9.886072  
       2.231725        10.29004  
       2.184691        10.47784  
       2.346353        11.18079  
       2.249198        10.83919  
       2.238046        10.64918  
       1.949390        9.842964  
       2.309630        10.67681  
       2.117271        10.12515  
       2.220108        10.64482  
       2.501059        11.47291  
       2.363612        10.67173  
       2.409933        11.18928  
       2.332438        10.86814  
       2.284431        10.80569  
       2.297760        10.70941  
       2.284431        10.94073  
       2.287802        10.44579  
       2.366423        10.99440  
       2.249198        10.77758  
       2.371991        10.96050  
       2.312812        10.88968  
       2.239300        10.78886  
       2.041393        9.772192  
       2.403121        11.00968  
       2.118926        10.14356  
       2.096910        9.974013  
       2.404834        11.01576  
       2.240549        10.26616  
       2.276462        10.39356  
       2.218798        10.32457  
       2.330414        10.34616  
       2.440122        11.31336  
       2.221414        10.35875  
       2.277609        10.93059  
       2.466868        11.32365  
       2.372912        11.00011  
       2.230449        9.490194  
       2.321184        11.05523  
       2.299943        10.82703  
       2.178977        10.33228  
       2.174641        10.27482  
       2.384712        10.92291  
       2.356982        10.68219  
       2.256477        10.36143  
       2.243038        10.36856  
       2.338456        10.69681  
       2.359835        10.82252  
       2.395326        10.95480  
       2.365488        10.79579  
       2.387390        11.27059  
       2.458638        11.19480  
       2.191730        10.24616  
       2.283301        10.61856  
       2.295567        10.52523  
       2.454845        11.07291  
       2.313867        10.84333  
       2.226600        10.35087  
       2.147676        10.23027  
       2.353147        10.97333  
       2.336460        11.00219  
       2.222717        10.43457  
       2.302114        10.74886  
       2.193125        10.09533  
       2.284431        10.83575  
       2.080987        10.01219  
       2.181844        10.00713  
       2.170262        10.99288  
       2.440122        11.12928  
       2.213518        10.69861  
       2.318063        10.86756  
       2.322219        11.13690  
       2.450249        11.27148  
       2.270679        10.69756  
       2.267172        10.84698  
       2.187521        10.59681  
       2.227887        10.46365  
       2.263636        10.78673  
       2.246745        10.61729  
       2.382917        11.24569  
       2.364551        11.44463  
       2.201397        10.36219  
       2.313867        10.83817  
       2.197281        10.53356  
       2.002166        9.656225  
       2.146128        10.19533  
       2.419956        10.88087  
       2.025306        9.945024  
       2.096910        9.900194  
       2.113943        10.09678  
       2.125481        10.09087  
       2.058805        9.874424  
       2.268344        10.47616  
       2.095169        9.777128  
       2.220108        9.936905  
       2.084576        10.04195  
       2.350248        11.12450  
#      
#McGaugh etal 2000 and references therein (this paper) [revised Nov. 2003]
       1.778164        8.570272  
       1.693168        8.458849  
       1.887848        8.535055  
       1.863558        8.497141  
       2.095901        9.741358  
       1.785882        8.456040  
       1.906232        9.129454  
       1.902293        9.064958  
       1.585524        8.695988  
       1.845226        9.291428  
       2.013381        9.816036  
       1.893011        9.180566  
       1.916065        9.695494  
       1.881334        9.695212  
       1.903196        8.720509  
       2.007231        9.068336  
       1.996828        9.515750  
       2.023669        9.164853  
       1.876457        9.605737  
       1.913425        9.933339  
       2.038266        10.21109  
       1.757845        8.120110  
       1.720222        8.086611  
       1.866225        8.342349  
       1.925939        8.912434  
       1.938809        8.305528  
       1.604540        7.821119  
       1.926836        8.772583  
       1.518904        7.661942  
       1.928563        8.368071  
       1.957674        9.171851  
       1.919045        9.707047  
       2.006377        9.754818  
       1.971174        9.380014  
       1.913322        9.224596  
       2.023163        9.051760  
       2.020149        9.546777  
       1.930219        9.821920  
       1.822539        9.685445  
       2.059713        9.573158  
       1.844557        7.944508  
       1.990299        9.196379  
       1.884952        8.546741  
       1.709612        8.005772  
       2.194789        10.23209  
       2.061459        9.519711  
       1.891241        8.245309  
       1.632036        7.228463  
       1.550236        8.012053  
       2.016248        9.681808  
       1.905501        8.739088  
       2.160190        9.841191  
       2.096290        9.640015  
       1.778710        9.245444  
       1.808127        9.694616  
       1.839077        9.412720  
       1.698030        8.516741  
       1.924309        9.457552  
       1.919045        9.500553  
       1.884177        9.769408  
       2.187238        9.121420  
       1.858622        8.957224  
       1.917294        8.963956  
       2.031999        10.06288  
       1.989927        9.668463  
#      
#McGaugh & de Blok 1998, ApJ,  499, 41
       2.001882        10.00242  
       1.947870        9.520649  
       1.827146        9.317209  
       2.046356        9.757266  
       2.065933        9.977668  
       2.078606        9.932487  
       2.095206        9.816767  
       1.864850        9.486060  
       2.116167        10.20270  
       2.310153        10.75219  
       2.047024        9.869721  
       1.681241        8.874142  
       1.740363        8.744877  
       1.939519        9.862627  
       2.033424        9.657219  
       1.986772        9.585619  
       2.346353        11.12844  
       1.897627        9.216831  
       2.133539        10.19779  
       2.509203        11.04120  
       2.303196        10.40040  
       2.330414        11.19548  
       1.826075        9.246565  
       2.195900        10.29226  
       2.346353        10.62588  
       2.436163        11.05344  
       1.963788        9.624900  
       2.082786        9.943347  
       2.424882        11.13650  
       2.382017        10.97564  
       1.954243        9.271586  
       2.474216        11.52873  
#      
#Matthews etal 1998, AJ, 116, 1169
       1.971862        9.274638  
       1.936532        9.392113  
       1.921512        9.450818  
       1.820511        9.045162  
       1.928037        8.531728  
       1.910622        9.638797  
       2.052820        9.581852  
       1.984608        9.514025  
       1.734730        8.608377  
       1.925064        9.120648  
       1.920252        9.521351  
       1.916758        9.420428  
       2.017245        9.836060  
       1.943450        9.551252  
