#        id         r_kpc       v            ev_min      ev_plus
#
          39        7.55        1818           7           7
          59        4.91        1799          15          16
          71        2.57        1805           8           6
          73        6.77        1814           3           3
          77        0.40        1804           6           6
          85        2.26        1801           6           5
          91        1.55        1802          10          10
          92        1.94        1789           7           6
          98        3.59        1764          14          11
         101        4.77        1800          14          13
